nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Antofagasta;2;Antofagasta;2101;A;POR CHILE, SEGUIMOS;CAMILO NICOLAS;KONG;9250;masculino
Antofagasta;2;Antofagasta;2101;A;POR CHILE, SEGUIMOS;WALDO FRANCISCO;VALDERRAMA;7004;masculino
Antofagasta;2;Antofagasta;2101;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;CAROLINA ALEJANDRA;RIVERA;5162;femenino
Antofagasta;2;Antofagasta;2101;G;VERDES LIBERALES POR UNA COMUNA SEGURA;KARINA MARCIA;GUZMAN;3024;femenino
Antofagasta;2;Antofagasta;2101;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;DINKO TOMISLAV;RENDIC;4180;masculino
Antofagasta;2;Antofagasta;2101;P;PARTIDO DE LA GENTE E INDEPENDIENTES;MARIA;TAPIA;5492;femenino
Antofagasta;2;Antofagasta;2101;T;TU COMUNA RADICAL;IGNACIO JAVIER;POZO;5149;masculino
Antofagasta;2;Antofagasta;2101;U;CHILE MUCHO MEJOR;NORMA;LEIVA;2116;femenino
Antofagasta;2;Antofagasta;2101;Y;REPUBLICANOS E INDEPENDIENTES;PATRICIO JAVIER;AGUIRRE;14850;masculino
Antofagasta;2;Antofagasta;2101;Y;REPUBLICANOS E INDEPENDIENTES;CLAUDIO HUMBERTO;AGUIRRE;5736;masculino
Antofagasta;2;Calama;2201;A;POR CHILE, SEGUIMOS;INTI GABRIEL;ALAVIA;1406;masculino
Antofagasta;2;Calama;2201;G;VERDES LIBERALES POR UNA COMUNA SEGURA;MALFREDO LUIS;MAMANI;2716;masculino
Antofagasta;2;Calama;2201;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;CLAUDIO ANTONIO;MALDONADO;2336;masculino
Antofagasta;2;Calama;2201;P;PARTIDO DE LA GENTE E INDEPENDIENTES;JORGE BRAULIO;ANZA;2447;masculino
Antofagasta;2;Calama;2201;R;CENTRO DEMOCRATICO;CESAR ANDRES;ROJAS;4816;masculino
Antofagasta;2;Calama;2201;T;TU COMUNA RADICAL;ALBERTO BLADIMIR;MUÑOZ;2918;masculino
Antofagasta;2;Calama;2201;U;CHILE MUCHO MEJOR;RICARDO;CAMPUSANO;2126;masculino
Antofagasta;2;Calama;2201;Y;REPUBLICANOS E INDEPENDIENTES;MARTIN CELSO;TAPIA;4908;masculino
Antofagasta;2;María Elena;2302;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;MIGUEL;GUERRERO;236;masculino
Antofagasta;2;María Elena;2302;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;CRISTIAN ANDRES;GALLARDO;373;masculino
Antofagasta;2;María Elena;2302;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;LUIS FERNANDO;CASTRO;165;masculino
Antofagasta;2;María Elena;2302;P;PARTIDO DE LA GENTE E INDEPENDIENTES;RAUL FRANCISCO;PUEBLA;347;masculino
Antofagasta;2;María Elena;2302;U;CHILE MUCHO MEJOR;CARMEN GLORIA;ZAMORA;154;femenino
Antofagasta;2;María Elena;2302;U;CHILE MUCHO MEJOR;CARMEN GLORIA;MIRANDA;351;femenino
Antofagasta;2;Mejillones;2102;A;POR CHILE, SEGUIMOS;JOSE LUIS;BARRAZA;600;masculino
Antofagasta;2;Mejillones;2102;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;ELSIE NOEMI;BIAGGINI;1868;femenino
Antofagasta;2;Mejillones;2102;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;ENRIQUE RODRIGO;ESTRADA;156;masculino
Antofagasta;2;Mejillones;2102;U;CHILE MUCHO MEJOR;MANUEL ALBERTO;MONARDES;1307;masculino
Antofagasta;2;Mejillones;2102;U;CHILE MUCHO MEJOR;MARIA ANTONIETA;CABELLO;332;femenino
Antofagasta;2;Mejillones;2102;U;CHILE MUCHO MEJOR;LIZA MARLENE;SAPIAIN;301;femenino
Antofagasta;2;Ollagüe;2202;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;LUIS;ANZA;125;masculino
Antofagasta;2;Ollagüe;2202;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;JAVIER;CONDORI;116;masculino
Antofagasta;2;Ollagüe;2202;G;VERDES LIBERALES POR UNA COMUNA SEGURA;KAREN EDITH;SALINAS;70;femenino
Antofagasta;2;Ollagüe;2202;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JULIA DEL CARMEN;PIZARRO;84;femenino
Antofagasta;2;Ollagüe;2202;R;CENTRO DEMOCRATICO;LUIS ALBERTO;FERNANDEZ;58;masculino
Antofagasta;2;Ollagüe;2202;U;CHILE MUCHO MEJOR;LUIS;CUTIPA;108;masculino
Antofagasta;2;San Pedro de Atacama;2203;G;VERDES LIBERALES POR UNA COMUNA SEGURA;IVAN ANDRES;BAUTISTA;448;masculino
