nombre_region;codigo_region;lista;pacto;partido;nombres;primer_apellido;votos;genero
Biobío;8;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;CRISTIAN;MEDINA;9597;masculino
Biobío;8;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;ENRIQUE;KRAUSE;15758;masculino
Biobío;8;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;LARRY;SANDOVAL;8777;masculino
Biobío;8;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;PATRICIO;KUHN;8063;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;AMERICO;MONDACA;10259;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ANGELO MAURICIO;MILLAMAN;5013;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CHRISTIAN LUIS;ARELLANO;3783;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CLAUDIO ENRIQUE;LAPOSTOL;16020;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;LUIS ALBERTO;SANTIBAÑEZ;14840;masculino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MARIA ELENA;NUÑEZ;12190;femenino
Biobío;8;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;YASNA LORENA;JARAMILLO;6158;femenino
La Araucanía;9;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;EDUARDO;HERNANDEZ;16855;masculino
La Araucanía;9;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;GILDA;MENDOZA;8309;femenino
La Araucanía;9;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;HANS;VAN DER MOLEN;6775;masculino
La Araucanía;9;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;MARITA;GUTIERREZ;7711;femenino
La Araucanía;9;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;SARA;SUAZO;7448;femenino
La Araucanía;9;N;LO MEJOR PARA CHILE;Independientes;MAURICIO EDUARDO;DEVAUD;5703;masculino
La Araucanía;9;N;LO MEJOR PARA CHILE;Partido Por la Democracia;ANA MARIA;SOTO;8429;femenino
La Araucanía;9;N;LO MEJOR PARA CHILE;Partido Por la Democracia;ESSIO EDGARDO;GUIDOTTI;6245;masculino
La Araucanía;9;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;MONICA;RODRIGUEZ;12008;femenino
La Araucanía;9;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ROBERTO RICARDO;PAREDES;3436;masculino
La Araucanía;9;R;CENTRO DEMOCRATICO;Partido Democratas Chile;CRISTIAN ALEXIS;HERRERA;6902;masculino
La Araucanía;9;S;FRENTE AMPLIO;Frente Amplio;PATRICIA ANDREA;PAILLAO;4152;femenino
La Araucanía;9;S;FRENTE AMPLIO;Independientes;JULIO NELSON;MARILEO;7731;masculino
La Araucanía;9;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;JOSE;LIZAMA;7347;masculino
La Araucanía;9;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;RODRIGO;PACHECO;22376;masculino
La Araucanía;9;W;CHILE VAMOS EVOPOLI - INDEPENDIENTES;Independientes;HUGO ROLANDO;MONSALVES;8253;masculino
La Araucanía;9;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MARISOL;WICKEL;13396;femenino
La Araucanía;9;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;NICOLAS ALBERTO;DONZE;6823;masculino
La Araucanía;9;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;VICTOR OSVALDO;YAÑEZ;7162;masculino
La Araucanía;9;ZZI;INDEPENDIENTES;Independientes;MIGUEL ANGEL;CONTRERAS;34218;masculino
Los Ríos;14;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;ARIEL;MUÑOZ;7991;femenino
Los Ríos;14;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;MARIO;SCHMEISSER;4553;masculino
Los Ríos;14;N;LO MEJOR PARA CHILE;Partido Por la Democracia;CATALINA;HOTT;10751;femenino
Los Ríos;14;N;LO MEJOR PARA CHILE;Partido Por la Democracia;SARITA EVELYNE;JARAMILLO;5598;femenino
Los Ríos;14;N;LO MEJOR PARA CHILE;Partido Por la Democracia;SEBASTIAN ANDRES;GOMEZ;4724;masculino
Los Ríos;14;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;FELIPE ARMANDO;LOPEZ;6436;masculino
Los Ríos;14;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;ITALO;MARTINEZ;8753;masculino
Los Ríos;14;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;HECTOR MANUEL;PACHECO;3923;masculino
Los Ríos;14;S;FRENTE AMPLIO;Frente Amplio;CAMILA JOSEFA DARIM;MATTAR;5266;femenino
Los Ríos;14;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;JUAN CARLOS;FARIAS;6421;masculino
Los Ríos;14;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;MARISOL;BAHAMONDEZ;4179;femenino
Los Ríos;14;W;CHILE VAMOS EVOPOLI - INDEPENDIENTES;Evolucion Politica;JUAN MANUEL;TALADRIZ;4706;masculino
Los Ríos;14;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ANE LOBETH;CONTRERAS;3404;masculino
Los Ríos;14;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;SERGIO IVAN;VALENZUELA;9790;masculino
Los Lagos;10;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;ALEXIS;CASANOVA;10882;femenino
Los Lagos;10;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;CESAR;NEGRON;12961;masculino
Los Lagos;10;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;FELIX;VARGAS;1913;masculino
Los Lagos;10;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;FRANCISCO;CARCAMO;11564;masculino
Los Lagos;10;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;TITO;GOMEZ;11050;masculino
Los Lagos;10;N;LO MEJOR PARA CHILE;Independientes;JAVIER;CABELLO;6515;masculino
Los Lagos;10;N;LO MEJOR PARA CHILE;Independientes;LUIS;BECERRA;7599;masculino
Los Lagos;10;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;FRANCISCO;REYES;10428;masculino
Los Lagos;10;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;BERNARDO RENE;BARRIA;8317;masculino
Los Lagos;10;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;NELSON HUGO;AGUILA;11717;masculino
Los Lagos;10;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;PATRICIA DEL CARMEN;GALLARDO;4650;femenino
Los Lagos;10;S;FRENTE AMPLIO;Frente Amplio;CATALINA BERNARDITA;SAAVEDRA;1882;femenino
Los Lagos;10;S;FRENTE AMPLIO;Frente Amplio;MARION SUSANA;FERNANDEZ;7206;femenino
Los Lagos;10;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;CARLOS;SCHWALM;9323;masculino
Los Lagos;10;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;FREDDY;GALLARDO;8912;masculino
Los Lagos;10;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;RODRIGO;ARISMENDI;10641;masculino
Los Lagos;10;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;AUGUSTO MATIAS;EGUILUZ;9643;masculino
Los Lagos;10;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;EDUARDO ANDRES;PARADA;4685;masculino
Los Lagos;10;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;LUIS ALBERTO;HERNANDEZ;13247;masculino
Los Lagos;10;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;YASNA NICOLE;VASQUEZ;11037;femenino
Aysén del General Carlos Ibáñez del Campo;11;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;BENJAMIN;INFANTE;1150;masculino
Aysén del General Carlos Ibáñez del Campo;11;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;ANA MARIA;MORA;513;femenino
Aysén del General Carlos Ibáñez del Campo;11;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;PABLO;GUGLIELMI;1853;masculino
Aysén del General Carlos Ibáñez del Campo;11;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;XIMENA;NOVOA;1578;femenino
Aysén del General Carlos Ibáñez del Campo;11;L;TU REGION RADICAL;Partido Radical de Chile;GUSTAVO;VILLARROEL;1239;masculino
Aysén del General Carlos Ibáñez del Campo;11;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;JULIO ESTEBAN;ROSSEL;989;masculino
Aysén del General Carlos Ibáñez del Campo;11;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;MARISOL DEL CARMEN;MARTINEZ;1511;femenino
Aysén del General Carlos Ibáñez del Campo;11;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;PAULINA;HERNANDEZ;1237;femenino
Aysén del General Carlos Ibáñez del Campo;11;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ROCCO ANTONIO;MARTINIELLO;2321;masculino
Aysén del General Carlos Ibáñez del Campo;11;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ROSA LORENA;GONZALEZ;1076;femenino
Aysén del General Carlos Ibáñez del Campo;11;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;RODRIGO;RIVERA;749;masculino
Aysén del General Carlos Ibáñez del Campo;11;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;ARCADIO;SOTO;734;masculino
Aysén del General Carlos Ibáñez del Campo;11;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;ELIGIO;MONTECINOS;1753;masculino
Aysén del General Carlos Ibáñez del Campo;11;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;OMAR;MUÑOZ;2604;masculino
Magallanes y de la Antártica Chilena;12;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;MAX;SALAS;1312;masculino
Magallanes y de la Antártica Chilena;12;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;JOSE;PAREDES;234;masculino
Magallanes y de la Antártica Chilena;12;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;NANO;SOTO;1281;masculino
Magallanes y de la Antártica Chilena;12;L;TU REGION RADICAL;Partido Radical de Chile;RODOLFO MARCELO;CARDENAS;1324;masculino
Magallanes y de la Antártica Chilena;12;N;LO MEJOR PARA CHILE;Partido Por la Democracia;ANDRES NESTOR FRANCISCO;LOPEZ;1417;masculino
Magallanes y de la Antártica Chilena;12;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;ANTONIO;BRADASIC;3501;masculino
Magallanes y de la Antártica Chilena;12;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;HUGO;PEREZ;242;masculino
Magallanes y de la Antártica Chilena;12;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;JUAN ENRIQUE;MORANO;2816;masculino
Magallanes y de la Antártica Chilena;12;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;PATRICIO;GAMIN;2054;masculino
Magallanes y de la Antártica Chilena;12;S;FRENTE AMPLIO;Frente Amplio;ARTURO ARMANDO;DIAZ;2623;masculino
Magallanes y de la Antártica Chilena;12;S;FRENTE AMPLIO;Independientes;XIMENA ELSA;MONTAÑA;1421;femenino
Magallanes y de la Antártica Chilena;12;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;ROXANA;GALLARDO;4611;femenino
Magallanes y de la Antártica Chilena;12;W;CHILE VAMOS EVOPOLI - INDEPENDIENTES;Evolucion Politica;RODOLFO ESTEBAN;ARECHETA;4045;masculino
Magallanes y de la Antártica Chilena;12;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ROBERT KURT;WEISSOHN;3327;masculino
