nombre_region;codigo_region;lista;pacto;partido;nombres;primer_apellido;votos;genero
Atacama;3;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;JORGE NELSON;TORRES;3104;masculino
Atacama;3;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;FERNANDO;GHIGLINO;2581;masculino
Atacama;3;M;REGIONES VERDES LIBERALES;Federacion Regionalista Verde Social;FABIOLA DEL CARMEN;PEREZ;4943;femenino
Atacama;3;M;REGIONES VERDES LIBERALES;Federacion Regionalista Verde Social;FRANCISCO;CORTEZ;6615;masculino
Atacama;3;M;REGIONES VERDES LIBERALES;Federacion Regionalista Verde Social;PATRICIO SERGIO;ALFARO;4462;masculino
Atacama;3;N;LO MEJOR PARA CHILE;Independientes;HUGO ALEJANDRO;BUGUEÑO;3046;masculino
Atacama;3;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;IGOR;VERDUGO;2334;masculino
Atacama;3;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;JUAN HORACIO;SANTANA;9077;masculino
Atacama;3;S;FRENTE AMPLIO;Frente Amplio;YERKO NAJIB;RAVLIC;2070;masculino
Atacama;3;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MIGUEL ANGEL;SAN MARTIN;3357;masculino
Coquimbo;4;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;TATIANA ALEJANDRA;CORTES;5535;femenino
Coquimbo;4;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;VALERIA PATRICIA;CHACANA;13539;femenino
Coquimbo;4;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;ANGEL;GONZALEZ;5317;masculino
Coquimbo;4;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;MARIA CRISTINA;CONCHA;8526;femenino
Coquimbo;4;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;MAX;AGUIRRE;2764;masculino
Coquimbo;4;N;LO MEJOR PARA CHILE;Partido Por la Democracia;JUAN MANUEL;BARRAZA;4900;masculino
Coquimbo;4;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;CARLOS;RAMOS;7500;masculino
Coquimbo;4;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;PEDRO;VALENCIA;7106;masculino
Coquimbo;4;Q;POR UN CHILE MEJOR;Independientes;DENIS ENRIQUE;CORTES;12813;masculino
Coquimbo;4;Q;POR UN CHILE MEJOR;Independientes;JUAN JALET;HISI;1802;masculino
Coquimbo;4;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;LOMBARDO VLADIMIR;TOLEDO;10969;masculino
Coquimbo;4;S;FRENTE AMPLIO;Frente Amplio;XIMENA DEL PILAR;AMPUERO;8894;femenino
Coquimbo;4;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;PAOLA DEL CARMEN;CORTES;9454;femenino
Coquimbo;4;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;BELEN;AUGER;8251;femenino
Coquimbo;4;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;BERNARDO ANTONIO;CHAVEZ;3880;masculino
Coquimbo;4;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;FRANCISCO JAVIER;CORRAL;18313;masculino
Valparaíso;5;C;TODAS Y TODOS POR CHILE;Independientes;GISELLE MAKARENA;AHUMADA;7927;femenino
Valparaíso;5;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;EMMANUEL;OLFOS;11713;masculino
Valparaíso;5;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;RODOLFO;SILVA;15021;masculino
Valparaíso;5;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;EDITH;QUIROZ;17239;femenino
Valparaíso;5;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;JUAN;IBACACHE;9590;masculino
Valparaíso;5;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;PAOLA;ZAMORANO;8550;femenino
Valparaíso;5;M;REGIONES VERDES LIBERALES;Independientes;MARIA VICTORIA;RODRIGUEZ;14237;femenino
Valparaíso;5;N;LO MEJOR PARA CHILE;Independientes;FRANCISCO;HAOA;870;masculino
Valparaíso;5;N;LO MEJOR PARA CHILE;Partido Por la Democracia;MARCELA ALICIA;VARAS;11750;femenino
Valparaíso;5;N;LO MEJOR PARA CHILE;Partido Por la Democracia;MARICEL ALEJANDRA;MARTINEZ;7478;femenino
Valparaíso;5;N;LO MEJOR PARA CHILE;Partido Por la Democracia;OMAR GABRIEL;VALDIVIA;6552;masculino
Valparaíso;5;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;LAUTARO;CORREA;12433;masculino
Valparaíso;5;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ROMY JESUS;FARIAS;13329;masculino
Valparaíso;5;S;FRENTE AMPLIO;Frente Amplio;MARIA ELENA;RUBILAR;11320;femenino
Valparaíso;5;S;FRENTE AMPLIO;Frente Amplio;PAULA;ROSSO;9826;femenino
Valparaíso;5;S;FRENTE AMPLIO;Frente Amplio;TANIA ESTEFANIA;VALENZUELA;19632;femenino
Valparaíso;5;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;OSVALDO;URRUTIA;19134;masculino
Valparaíso;5;W;CHILE VAMOS EVOPOLI - INDEPENDIENTES;Independientes;SABRINA;TUKI;1371;femenino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CATALINA MARIA;THAUBY;15837;femenino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CRISTIAN;PINILLA;7558;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CRISTIAN HUMBERTO;FUENTES;16030;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ELSA;BUENO;20038;femenino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;FELIPE;CORDOBA;9257;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;FERNANDO;ASTORGA;14277;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;JAVIER IGNACIO;VENEGAS;17432;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;JOSE LUIS;MIRANDA;13014;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MAURICIO ALEJANDRO;LOPEZ;14507;masculino
Valparaíso;5;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;PAULINA;YAÑEZ;15111;femenino
Metropolitana de Santiago;13;C;TODAS Y TODOS POR CHILE;Independientes;VALERIA ISIDORA;ORTEGA;25374;femenino
Metropolitana de Santiago;13;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;BEATRIZ DEL PILAR;ALBORNOZ;31004;femenino
Metropolitana de Santiago;13;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;CLAUDINA DEL CARMEN;NUÑEZ;43044;femenino
Metropolitana de Santiago;13;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;DANAE NATALIA;PRADO;42794;femenino
